
***** UniversalIN-Sonda Accumulo *****
***** AnalogOUT-Comment *****
Value		 --> 926
Manual		 --> 927
***** Costant-Sovraprod *****
OUT		 --> 1226
***** Hysteresys2-Comment *****
OUT		 --> 1251
SetPoint		 --> 1252
minOutput		 --> 1253
maxOutput		 --> 1254
BandPlus		 --> 1255
BandMinus		 --> 1256
InvertLevels		 --> 1257
***** Logic-Comment *****
OUT		 --> 1276
Implicit		 --> 1277
***** Logic-Comment *****
OUT		 --> 1301
Implicit		 --> 1302
***** Logic-Comment *****
OUT		 --> 1326
Implicit		 --> 1327
***** Hysteresys2-Comment *****
OUT		 --> 1351
SetPoint		 --> 1352
minOutput		 --> 1353
maxOutput		 --> 1354
BandPlus		 --> 1355
BandMinus		 --> 1356
InvertLevels		 --> 1357
***** Logic-Comment *****
OUT		 --> 1376
Implicit		 --> 1377
***** Logic-Comment *****
OUT		 --> 1401
Implicit		 --> 1402
***** Mux-Comment *****
OUT		 --> 1426
NumberOfPoints		 --> 1427
Default0		 --> 1428
Default1		 --> 1429
***** Hysteresys2-Comment *****
OUT		 --> 1451
SetPoint		 --> 1452
minOutput		 --> 1453
maxOutput		 --> 1454
BandPlus		 --> 1455
BandMinus		 --> 1456
InvertLevels		 --> 1457
***** Costant-Comment *****
OUT		 --> 1651
***** Logic-Comment *****
OUT		 --> 1851
Implicit		 --> 1852
***** BinaryEncoder-StatiMacchina *****
OUT		 --> 1976
***** Trigger-Comment *****
OUT		 --> 2001
***** Logic-Comment *****
OUT		 --> 1151
Implicit		 --> 1152
***** Mux-ModoFreddo *****
OUT		 --> 2026
NumberOfPoints		 --> 2027
Default0		 --> 2028
Default1		 --> 2029
***** Mux-ModoCaldo *****
OUT		 --> 2051
NumberOfPoints		 --> 2052
Default0		 --> 2053
Default1		 --> 2054
***** Logic-Comment *****
OUT		 --> 2476
Implicit		 --> 2477
***** Logic-Comment *****
OUT		 --> 1176
Implicit		 --> 1177
***** Costant-Comment *****
OUT		 --> 2076
***** BinaryDecoder-Comment *****
OUT0		 --> 2876
OUT1		 --> 2877
OUT2		 --> 2878
OUT3		 --> 2879
***** Mux-Comment *****
OUT		 --> 2901
NumberOfPoints		 --> 2902
Default0		 --> 2903
Default1		 --> 2904
***** Logic-Comment *****
OUT		 --> 2926
Implicit		 --> 2927
***** Logic-Comment *****
OUT		 --> 2951
Implicit		 --> 2952
***** IF-Comment *****
OUT		 --> 3026
Implicit		 --> 3027
***** Logic-Comment *****
OUT		 --> 3051
Implicit		 --> 3052
***** Logic-Comment *****
OUT		 --> 3076
Implicit		 --> 3077
***** Costant-Comment *****
OUT		 --> 3101
***** IF-Comment *****
OUT		 --> 3126
Implicit		 --> 3127
***** IF-Comment *****
OUT		 --> 3151
Implicit		 --> 3152
***** IF-Comment *****
OUT		 --> 3176
Implicit		 --> 3177
***** Logic-Comment *****
OUT		 --> 1201
Implicit		 --> 1202
***** Timer-TimerOn *****
Time		 --> 1476
T>=C		 --> 1477
T<=C		 --> 1478
T>C		 --> 1479
T<C		 --> 1480
T==C		 --> 1481
***** Timer-TimerOFF *****
Time		 --> 1501
T>=C		 --> 1502
T<=C		 --> 1503
T>C		 --> 1504
T<C		 --> 1505
T==C		 --> 1506
***** Timer-Tengo spenta uscita all'accensione se ON == 0 *****
Time		 --> 1526
T>=C		 --> 1527
T<=C		 --> 1528
T>C		 --> 1529
T<C		 --> 1530
T==C		 --> 1531
***** Arithmetic-Comment *****
OUT		 --> 1551
Implicit value		 --> 1552
UseIntegers		 --> 1553
***** Mux-Comment *****
OUT		 --> 1576
NumberOfPoints		 --> 1577
Default0		 --> 1578
Default1		 --> 1579
***** Mux-Serrande *****
OUT		 --> 1601
NumberOfPoints		 --> 1602
Default0		 --> 1603
Default1		 --> 1604
***** Mux-Inverter *****
OUT		 --> 1626
NumberOfPoints		 --> 1627
Default0		 --> 1628
Default1		 --> 1629
***** Timer-TimerOn *****
Time		 --> 1676
T>=C		 --> 1677
T<=C		 --> 1678
T>C		 --> 1679
T<C		 --> 1680
T==C		 --> 1681
***** Timer-TimerOFF *****
Time		 --> 1701
T>=C		 --> 1702
T<=C		 --> 1703
T>C		 --> 1704
T<C		 --> 1705
T==C		 --> 1706
***** Timer-Tengo spenta uscita all'accensione se ON == 0 *****
Time		 --> 1726
T>=C		 --> 1727
T<=C		 --> 1728
T>C		 --> 1729
T<C		 --> 1730
T==C		 --> 1731
***** Arithmetic-Comment *****
OUT		 --> 1751
Implicit value		 --> 1752
UseIntegers		 --> 1753
***** Mux-Comment *****
OUT		 --> 1776
NumberOfPoints		 --> 1777
Default0		 --> 1778
Default1		 --> 1779
***** Mux-Serrande *****
OUT		 --> 1801
NumberOfPoints		 --> 1802
Default0		 --> 1803
Default1		 --> 1804
***** Mux-Inverter *****
OUT		 --> 1826
NumberOfPoints		 --> 1827
Default0		 --> 1828
Default1		 --> 1829
***** Trigger-Comment *****
OUT		 --> 2101
***** Logic-Comment *****
OUT		 --> 2126
Implicit		 --> 2127
***** Timer-Comment *****
Time		 --> 2151
T>=C		 --> 2152
T<=C		 --> 2153
T>C		 --> 2154
T<C		 --> 2155
T==C		 --> 2156
***** IF-Comment *****
OUT		 --> 2176
Implicit		 --> 2177
***** Mux-Comment *****
OUT		 --> 2201
NumberOfPoints		 --> 2202
Default0		 --> 2203
Default1		 --> 2204
***** Trigger-Comment *****
OUT		 --> 2226
***** Mux-Comment *****
OUT		 --> 2251
NumberOfPoints		 --> 2252
Default0		 --> 2253
Default1		 --> 2254
***** Mux-Comment *****
OUT		 --> 2276
NumberOfPoints		 --> 2277
Default0		 --> 2278
Default1		 --> 2279
***** Logic-Comment *****
OUT		 --> 2301
Implicit		 --> 2302
***** Logic-Comment *****
OUT		 --> 2326
Implicit		 --> 2327
***** Logic-Comment *****
OUT		 --> 2351
Implicit		 --> 2352
***** Timer-Comment *****
Time		 --> 2376
T>=C		 --> 2377
T<=C		 --> 2378
T>C		 --> 2379
T<C		 --> 2380
T==C		 --> 2381
***** IF-Comment *****
OUT		 --> 2401
Implicit		 --> 2402
***** Mux-Comment *****
OUT		 --> 2426
NumberOfPoints		 --> 2427
Default0		 --> 2428
Default1		 --> 2429
***** Logic-Comment *****
OUT		 --> 2451
Implicit		 --> 2452
***** Trigger-Comment *****
OUT		 --> 2501
***** Logic-Comment *****
OUT		 --> 2526
Implicit		 --> 2527
***** Timer-Comment *****
Time		 --> 2551
T>=C		 --> 2552
T<=C		 --> 2553
T>C		 --> 2554
T<C		 --> 2555
T==C		 --> 2556
***** IF-Comment *****
OUT		 --> 2576
Implicit		 --> 2577
***** Mux-Comment *****
OUT		 --> 2601
NumberOfPoints		 --> 2602
Default0		 --> 2603
Default1		 --> 2604
***** Trigger-Comment *****
OUT		 --> 2626
***** Mux-Comment *****
OUT		 --> 2651
NumberOfPoints		 --> 2652
Default0		 --> 2653
Default1		 --> 2654
***** Mux-Comment *****
OUT		 --> 2676
NumberOfPoints		 --> 2677
Default0		 --> 2678
Default1		 --> 2679
***** Logic-Comment *****
OUT		 --> 2701
Implicit		 --> 2702
***** Logic-Comment *****
OUT		 --> 2726
Implicit		 --> 2727
***** Logic-Comment *****
OUT		 --> 2751
Implicit		 --> 2752
***** Timer-Comment *****
Time		 --> 2776
T>=C		 --> 2777
T<=C		 --> 2778
T>C		 --> 2779
T<C		 --> 2780
T==C		 --> 2781
***** IF-Comment *****
OUT		 --> 2801
Implicit		 --> 2802
***** Mux-Comment *****
OUT		 --> 2826
NumberOfPoints		 --> 2827
Default0		 --> 2828
Default1		 --> 2829
***** Logic-Comment *****
OUT		 --> 2851
Implicit		 --> 2852
